description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Dinge emporheben;8;163;209;187,183,211,205;2;;180;221.38;822.11;26.76;5.59;7.75
Dinge emporheben;8;165;210;92,183,116,205;2;;180;265.39;822.11;26.76;5.35;7.75
fehlt;8;157;205;392,110,417,133;2;;0;265.15;879.44;43.8;5.59;8.76
fehlt;8;155;205;297,133,321,155;2;;0;220.92;879.44;27.74;5.59;8.03
fehlt;8;157;205;392,134,416,153;2;;0;265.15;879.44;27.37;5.59;7.66
;;;;186,209,211,232;0;;180;221.38;822.11;8.1;5.59;8.1
;;;;92,209,116,232;0;;180;265.39;822.11;8.1;5.35;8.1
;;;;186,204,211,210;0;;180;221.38;822.11;17.96;5.59;1.76
;;;;92,205,116,210;0;;180;265.39;822.11;17.61;5.35;1.41
;;;;297,154,322,160;0;;0;220.92;879.44;18.25;5.59;2.19
;;;;392,154,417,160;0;;0;265.15;879.44;18.25;5.59;2.19
;;;;297,159,322,182;0;;0;220.92;879.44;8.03;5.59;8.03
;;;;392,159,417,182;0;;0;265.15;879.44;8.03;5.59;8.03
Opfer darbringen ;8;158;205;395,249,410,267;2;;90;253;886;25;2.5;25
Speiseopfer ;8;158;205;394,229,410,248 ;2;;90;253;886;75;2.5;25
Acker darreichen;8;159;206;167,323,192,346;2;;270;235.26;829.07;31.9;6.96;9.48
Acker darreichen;8;160;206;111,322,136,346;2;;90;253.74;828.79;33.04;6.68;9.57
Lobpreisen ;8;161;208;196,320,241,344;2;;270;235.26;851.06;31.9;15.03;9.48
Halskragen darreichen;8;170;212;31,300,56,323;2;;90;253.74;872.21;52.17;6.68;9.57
Feuerbecken aufstellen ;8;169;212;32,324,56,345;2;;90;253.74;872.21;33.04;6.68;9.57
Fleischstücke auslösen;8;166;211;248,324,270,345;2;;270;235.26;872.76;31.9;6.68;9.48
Gold und Fayence, Gerste und Emmer ausgiessen;8;167;211;245,300,270,323;2;;270;235.26;872.76;50.86;6.68;9.48
;;;;167,349,192,372;0;;270;235.26;829.07;9.48;6.96;9.48
;;;;167,345,191,350;0;;270;235.26;829.07;20.69;6.96;1.72
;;;;111,345,135,350;0;;90;253.74;828.79;21.74;6.68;1.74
;;;;111,349,135,372;0;;90;253.74;828.79;10.43;6.68;9.57
;;;;196,342,241,370;0;;270;235.26;851.06;11.21;15.03;11.21
;;;;33,345,57,350;0;;90;253.74;872.21;21.74;6.68;1.74
;;;;33,350,57,373;0;;90;253.74;872.21;10.43;6.68;9.57
;;;;246,349,270,372;0;;270;235.26;872.76;9.48;6.68;9.48
;;;;245,345,270,350;0;;270;235.26;872.76;20.69;6.68;1.72
