description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;233,106,253,223;2;;90;361.39;282.45;88.98;5.45;8.47
;;;;279,106,299,224;2;;270;369.61;282.5;90.08;5.5;8.26
;;;;301,106,321,129;2;;270;369.61;278.07;71.9;1.07;8.26
;;;;323,106,342,129;2;;270;369.61;278.07;54.13;1.07;7.85
;;;;344,106,365,129;2;;270;369.61;278.07;35.95;1.07;8.68
;;;;367,106,386,129;2;;270;369.61;278.07;17.77;1.07;7.85
;;;;301,201,321,224;2;;270;369.61;286.93;71.9;1.07;8.26
;;;;323,201,342,224;2;;270;369.61;286.93;54.13;1.07;7.85
;;;;344,201,365,224;2;;270;369.61;286.93;35.95;1.07;8.68
;;;;367,201,386,224;2;;270;369.61;286.93;17.77;1.07;7.85
;;;;141,106,144,128;0;;90;361.39;278.03;3.81;1.03;1.27
;;;;146,106,231,128;0;;90;361.39;278.03;42.8;1.03;36.02
;;;;388,106,391,129;0;;270;369.61;278.07;7.02;1.07;1.24
;;;;141,200,144,223;0;;90;361.39;286.83;3.81;1.07;1.27
;;;;146,200,231,223;0;;90;361.39;286.83;42.8;1.07;36.02
;;;;388,201,391,224;0;;270;369.61;286.93;7.02;1.07;1.24
;;;;166,220,189,241;2;;180;365.3;287.88;17.37;4.3;11.05
;;;;166,242,189,245;0;;180;365.3;287.88;3.68;4.3;1.58
