description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;131,124,151,220;2;;90;361.47;456;88.89;4;8.55
;;;;173,124,193,219;2;;270;369.53;455.96;89.74;3.96;8.55
;;;;195,124,215,147;2;;270;369.53;452.96;70.94;0.96;8.55
;;;;217,124,237,147;2;;270;369.53;452.96;52.14;0.96;8.55
;;;;239,124,258,147;2;;270;369.53;452.96;33.76;0.96;8.12
;;;;195,196,215,219;2;;270;369.53;458.96;70.94;0.96;8.55
;;;;217,196,237,219;2;;270;369.53;458.96;52.14;0.96;8.55
;;;;239,196,258,219;2;;270;369.53;458.96;33.76;0.96;8.12
;;;;39,124,129,147;0;;90;361.47;452.96;40.17;0.96;38.46
;;;;260,124,263,147;0;;270;369.53;452.96;22.65;0.96;1.28
;;;;265,124,285,147;0;;270;369.53;452.96;11.11;0.96;8.55
;;;;260,196,263,219;0;;270;369.53;458.96;22.65;0.96;1.28
;;;;265,196,285,219;0;;270;369.53;458.96;11.11;0.96;8.55
;;;;39,197,129,220;0;;90;361.47;459.04;40.17;0.96;38.46
