description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;154,24,200,52;2;;0;235.41;122;85.71;7.75;12.5
;;;;202,24,249,52;2;;0;251.75;122;85.71;7.92;12.5
;;;;154,53,200,80;2;;0;235.41;122;60.27;7.75;12.05
;;;;202,53,249,80;2;;0;251.75;122;60.27;7.92;12.05
;;;;154,81,200,109;2;;0;235.41;122;34.82;7.75;12.5
;;;;202,81,249,109;2;;0;251.75;122;34.82;7.92;12.5
;;;;41,134,68,172;2;;270;228;128.1;83.06;6.1;11.16
;;;;70,134,97,172;2;;270;228;128.1;59.09;6.1;11.16
;;;;99,134,128,200;2;;270;228;132.59;34.3;10.59;11.98
;;;;275,134,304,200;2;;90;260.34;132.59;32.35;10.59;12.18
;;;;306,134,333,172;2;;90;260.34;128.1;57.56;6.1;11.34
;;;;335,134,362,172;2;;90;260.34;128.1;81.93;6.1;11.34
;;;;41,173,68,200;2;;270;228;138.86;83.06;4.33;11.16
;;;;70,173,97,200;2;;270;228;138.86;59.09;4.33;11.16
;;;;306,173,333,200;2;;90;260.34;138.86;57.56;4.33;11.34
;;;;335,173,362,200;2;;90;260.34;138.86;81.93;4.33;11.34
;;;;41,201,68,238;2;;270;228;149.45;83.06;5.94;11.16
;;;;70,201,97,238;2;;270;228;149.45;59.09;5.94;11.16
;;;;99,201,128,238;2;;270;228;149.45;34.3;5.94;11.98
;;;;275,201,304,238;2;;90;260.34;149.45;32.35;5.94;12.18
;;;;306,201,333,238;2;;90;260.34;149.45;57.56;5.94;11.34
;;;;335,201,362,238;2;;90;260.34;149.45;81.93;5.94;11.34
;;;;41,239,68,267;2;;270;228;160.21;83.06;4.49;11.16
;;;;70,239,97,267;2;;270;228;160.21;59.09;4.49;11.16
;;;;99,239,128,267;2;;270;228;160.21;34.3;4.49;11.98
;;;;275,239,304,267;2;;90;260.34;160.21;32.35;4.49;12.18
;;;;306,239,333,267;2;;90;260.34;160.21;57.56;4.49;11.34
;;;;335,239,362,267;2;;90;260.34;160.21;81.93;4.49;11.34
;;;;41,268,68,295;2;;270;228;169.36;83.06;4.33;11.16
;;;;70,268,97,295;2;;270;228;169.36;59.09;4.33;11.16
;;;;99,268,128,295;2;;270;228;169.36;34.3;4.33;11.98
;;;;275,268,304,295;2;;90;260.34;169.36;32.35;4.33;12.18
;;;;306,268,333,295;2;;90;260.34;169.36;57.56;4.33;11.34
;;;;335,268,362,295;2;;90;260.34;169.36;81.93;4.33;11.34
;;;;41,296,68,324;2;;270;228;178.51;83.06;4.49;11.16
;;;;70,296,97,324;2;;270;228;178.51;59.09;4.49;11.16
;;;;99,296,128,324;2;;270;228;178.51;34.3;4.49;11.98
;;;;275,296,304,324;2;;90;260.34;178.51;32.35;4.49;12.18
;;;;306,296,333,324;2;;90;260.34;178.51;57.56;4.49;11.34
;;;;335,296,362,324;2;;90;260.34;178.51;81.93;4.49;11.34
;;;;154,349,176,377;2;;180;231.37;183;33.62;3.71;12.07
;;;;227,349,249,377;2;;180;255.96;183;33.62;3.71;12.07
;;;;154,378,176,406;2;;180;231.37;183;58.62;3.71;12.07
;;;;227,378,249,406;2;;180;255.96;183;58.62;3.71;12.07
;;;;154,407,176,434;2;;180;231.37;183;83.19;3.71;11.64
;;;;178,407,225,434;2;;180;243.66;183;83.19;7.92;11.64
;;;;227,407,249,434;2;;180;255.96;183;83.19;3.71;11.64
;;;;154,110,249,113;0;;0;243.66;122;20.09;16;1.34
;;;;154,114,249,129;0;;0;243.66;122;11.16;16;6.7
;;;;154,130,249,133;0;;0;243.66;122;2.23;16;1.34
;;;;36,134,39,324;0;;270;228;152.5;97.11;30.5;1.24
;;;;130,134,133,324;0;;270;228;152.5;19.42;30.5;1.24
;;;;135,134,152,324;0;;270;228;152.5;9.5;30.5;7.02
;;;;251,134,268,324;0;;90;260.34;152.5;7.14;30.5;7.14
;;;;270,134,273,324;0;;90;260.34;152.5;17.23;30.5;1.26
;;;;364,134,367,324;0;;90;260.34;152.5;96.22;30.5;1.26
;;;;154,325,176,344;0;;180;231.37;183;9.05;3.71;8.19
;;;;227,325,249,344;0;;180;255.96;183;9.05;3.71;8.19
;;;;154,345,176,348;0;;180;231.37;183;19.4;3.71;1.29
;;;;227,345,249,348;0;;180;255.96;183;19.4;3.71;1.29
;;;;154,435,249,438;0;;180;243.66;183;96.98;16;1.29
;;;;153,463,173,485;2;;0;233.12;192;76.92;2.96;10.58
;;;;229,463,249,485;2;;0;255.58;192;76.92;2.96;10.58
;;;;153,486,173,509;2;;0;233.12;192;54.33;2.96;11.06
;;;;229,486,249,509;2;;0;255.58;192;54.33;2.96;11.06
;;;;124,501,151,531;2;;0;225.58;192;36.54;3.99;14.42
;;;;251,501,278,531;2;;0;263.12;192;36.54;3.99;14.42
;;;;153,510,173,531;2;;0;233.12;192;32.21;2.96;10.1
;;;;229,510,249,531;2;;0;255.58;192;32.21;2.96;10.1
;;;;124,451,151,500;0;;0;225.58;192;75.48;3.99;23.56
;;;;153,451,173,462;0;;0;233.12;192;93.75;2.96;5.29
;;;;175,451,227,462;0;;0;244.35;192;93.75;7.69;5.29
;;;;229,451,249,462;0;;0;255.58;192;93.75;2.96;5.29
;;;;251,451,278,500;0;;0;263.12;192;75.48;3.99;23.56
;;;;124,532,151,535;0;;0;225.58;192;19.71;3.99;1.44
;;;;153,532,173,535;0;;0;233.12;192;19.71;2.96;1.44
;;;;229,532,249,535;0;;0;255.58;192;19.71;2.96;1.44
;;;;251,532,278,535;0;;0;263.12;192;19.71;3.99;1.44
;;;;124,536,151,552;0;;0;225.58;192;9.62;3.99;7.69
;;;;153,536,173,552;0;;0;233.12;192;9.62;2.96;7.69
;;;;229,536,249,552;0;;0;255.58;192;9.62;2.96;7.69
;;;;251,536,278,552;0;;0;263.12;192;9.62;3.99;7.69
