description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent;polygon_original
Krokodil töten;8;34;180;469,554,496,565;2;Chassinat/8_034.jpg;90;258;764.33;46.84;10.16;6.84;
Oberägypten und Unterägypten darreichen;8;32;180;469,566,496,587;2;Chassinat/8_032.jpg;90;258;764.33;28.95;10.16;12.11;
Das Westgebirge darbringen;8;91;191;150,263,174,307;2;Chassinat/8_091.jpg;90;56;745;84.3;33;6.98;150,262,151,263,174,265,173,304,150,307
Kranz darreichen;8;90;191;119,263,146,307;2;Chassinat/8_090.jpg;90;56;745;67.15;33;7.85;119,258,120,259,146,262,146,307,119,311
Himmel stützen;8;89;191;85,263,116,307;2;Chassinat/8_089.jpg;90;56;745;48.55;33;9.01;85,254,86,255,116,258,116,312,85,316
Gottesopfer opfern;8;88;191;38,263,81,307;2;Chassinat/8_088.jpg;90;56;745;24.71;33;12.5;39,248,40,249,81,254,81,315,38,321
Das Ostgebirge darbringen;8;131;200;517,264,541,306;2;Chassinat/8_131.jpg;270;431;745;84.8;31.5;7.02;517,266,518,267,541,264,541,306,517,303
Halskragen darreichen;8;130;200;545,264,572,306;2;Chassinat/8_130.jpg;270;431;745;67.54;31.5;7.89;545,263,546,264,572,261,572,309,545,306
Himmel stützen;8;129;200;576,264,607,306;2;Chassinat/8_129.jpg;270;431;745;48.25;31.5;9.06;576,259,577,260,607,256,607,314,576,309
Opfer;8;128;200;609,264,653,306;2;Chassinat/8_128.jpg;270;431;745;25.15;31.5;12.87;609,255,610,256,653,251,653,319,610,314
Doppelkrone darreichen;8;103;192;185,216,213,249;2;Chassinat/8_103.jpg;180;67.94;715;81.94;16.72;9.17;179,216,180,217,213,217,213,249,187,249
Spiegel darreichen;8;104;192;216,216,254,250;2;Chassinat/8_104.jpg;180;110.94;715;82.22;22.69;9.44;
Milch darreichen;8;104;192;256,216,276,250;2;Chassinat/8_104.jpg;180;147.96;715;82.22;11.94;9.44;
Menit darreichen;8;101;192;229,154,272,214;2;Chassinat/8_101.jpg;180;129.45;715;55;25.68;16.67;
Antilope töten;8;105;192;278,215,325,249;2;Chassinat/8_105.jpg;180;190.36;715;81.67;28.07;9.44;279,215,280,216,325,216,318,249,278,249
Stier von Heliopolis (Iunpfeiler) aufrichten;8;100;192;185,154,227,212;2;Chassinat/8_100.jpg;180;76.3;715;54.44;25.08;16.11;165,154,166,155,227,155,226,212,178,212
Weihrauch räuchern;8;102;192;274,155,318,212;2;Chassinat/8_102.jpg;180;183.79;715;54.72;26.27;15.83;274,155,275,156,314,156,314,187,311,191,311,196,318,196,318,212,274,212
Masten aufrichten;8;95;192;185,104,226,152;2;Chassinat/8_095.jpg;180;75.71;715;23.89;24.48;13.33;152,104,153,105,226,105,226,152,164,152
Standartenträger;8;96;193;243,141,271,152;2;Chassinat/8_096.jpg;180;137.21;715;34.17;16.72;3.06;
Barkenträger;8;98;193;274,140,316,153;2;Chassinat/8_098.jpg;180;182.59;715;34.17;25.08;3.61;
Amulett darreichen;8;47;184;318,141,329,152;2;Chassinat/8_047.jpg;180;216.63;715;34.17;6.57;3.06;
;;;;318,155,329,167;2;#;180;216.63;715;42.22;6.57;3.33;
Wenescheb darreichen;8;44;184;318,169,330,181;2;Chassinat/8_044.jpg;180;217.23;715;50;7.17;3.33;
Wein darreichen;8;44;184;331,168,344,182;2;Chassinat/8_044.jpg;180;233.35;715;50;7.76;3.89;
Wein darreichen;;;;347,169,359,182;2;#;180;251.86;715;50.28;7.17;3.61;
Sistrum spielen;8;45;184;362,168,373,182;2;Chassinat/8_045.jpg;180;269.18;715;50;6.57;3.89;
;;;;362,154,373,167;2;#;180;269.18;715;41.94;6.57;3.61;
