description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Acker darreichen;8;159;206;167,323,192,346;2;;270;235.26;829.07;31.9;6.96;9.48
Acker darreichen;8;160;206;111,322,136,346;2;;90;253.74;828.79;33.04;6.68;9.57
Lobpreisen ;8;161;208;196,320,241,344;2;;270;235.26;851.06;31.9;15.03;9.48
Halskragen darreichen;8;170;212;31,300,56,323;2;;90;253.74;872.21;52.17;6.68;9.57
Feuerbecken aufstellen ;8;169;212;32,324,56,345;2;;90;253.74;872.21;33.04;6.68;9.57
Fleischstücke auslösen;8;166;211;248,324,270,345;2;;270;235.26;872.76;31.9;6.68;9.48
Gold und Fayence, Gerste und Emmer ausgiessen;8;167;211;245,300,270,323;2;;270;235.26;872.76;50.86;6.68;9.48
;;;;167,349,192,372;0;;270;235.26;829.07;9.48;6.96;9.48
;;;;167,345,191,350;0;;270;235.26;829.07;20.69;6.96;1.72
;;;;111,345,135,350;0;;90;253.74;828.79;21.74;6.68;1.74
;;;;111,349,135,372;0;;90;253.74;828.79;10.43;6.68;9.57
;;;;196,342,241,370;0;;270;235.26;851.06;11.21;15.03;11.21
;;;;33,345,57,350;0;;90;253.74;872.21;21.74;6.68;1.74
;;;;33,350,57,373;0;;90;253.74;872.21;10.43;6.68;9.57
;;;;246,349,270,372;0;;270;235.26;872.76;9.48;6.68;9.48
;;;;245,345,270,350;0;;270;235.26;872.76;20.69;6.68;1.72
