description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;167,22,207,50;2;;0;236.75;71;82.35;6.75;11.76
;;;;209,22,246,50;2;;0;250.42;71;82.35;6.24;11.76
;;;;167,51,207,80;2;;0;236.75;71;57.56;6.75;12.18
;;;;209,51,246,80;2;;0;250.42;71;57.56;6.24;12.18
;;;;167,81,207,109;2;;0;236.75;71;32.77;6.75;11.76
;;;;209,81,246,109;2;;0;250.42;71;32.77;6.24;11.76
;;;;55,134,84,197;2;;270;230;82;82.63;11;12.29
;;;;86,134,114,197;2;;270;230;82;56.78;11;11.86
;;;;116,134,143,197;2;;270;230;82;31.78;11;11.44
;;;;269,134,296,197;2;;90;257;82;30.34;11;11.54
;;;;298,134,326,197;2;;90;257;82;55.56;11;11.97
;;;;328,134,357,197;2;;90;257;82;81.62;11;12.39
;;;;167,222,191,252;2;;180;234.05;93;34.19;4.05;12.82
;;;;222,222,246,252;2;;180;252.61;93;34.19;4.05;12.82
;;;;167,253,191,287;2;;180;234.05;93;62.39;4.05;14.53
;;;;222,253,246,287;2;;180;252.61;93;62.39;4.05;14.53
;;;;167,288,205,309;2;;180;236.41;93;86.75;6.41;8.97
;;;;208,288,246,309;2;;180;250.25;93;86.75;6.41;8.97
;;;;167,17,246,21;0;;0;243.33;71;96.64;13.33;1.68
;;;;167,110,246,113;0;;0;243.33;71;18.91;13.33;1.26
;;;;167,114,246,133;0;;0;243.33;71;8.82;13.33;7.98
;;;;51,134,53,197;0;;270;230;82;97.46;11;0.85
;;;;145,134,147,197;0;;270;230;82;17.8;11;0.85
;;;;149,134,165,197;0;;270;230;82;8.47;11;6.78
;;;;248,134,263,197;0;;90;257;82;7.26;11;6.41
;;;;265,134,267,197;0;;90;257;82;16.24;11;0.85
;;;;359,134,361,197;0;;90;257;82;96.58;11;0.85
;;;;167,198,191,217;0;;180;234.05;93;8.97;4.05;8.12
;;;;222,198,246,217;0;;180;252.61;93;8.97;4.05;8.12
;;;;167,218,191,221;0;;180;234.05;93;19.23;4.05;1.28
;;;;222,218,246,221;0;;180;252.61;93;19.23;4.05;1.28
;;;;167,310,246,313;0;;180;243.33;93;97.86;13.33;1.28
