description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;50,41,59,472;0;;270;123;588.4;93.21;128.8;5.56
;;;;117,41,120,381;0;;270;123;561.2;14.2;101.6;1.85
;;;;120,41,129,381;0;;270;123;561.2;6.79;101.6;5.56
;;;;481,41,489,327;0;;90;361;545.07;6.25;85.47;5
;;;;490,41,492,327;0;;90;361;545.07;13.75;85.47;1.25
;;;;550,41,559,472;0;;90;361;588.4;93.13;128.8;5.63
;;;;517,326,524,381;0;;90;361;646.37;50.63;16.44;4.38
;;;;524,326,531,381;0;;90;361;646.37;59.38;16.44;4.38
;;;;481,327,517,338;0;;90;361;633.82;23.75;3.29;22.5
;;;;481,369,517,381;0;;90;361;659.22;23.75;3.59;22.5
;;;;98,381,105,400;0;;270;123;668.48;35.19;5.68;4.32
;;;;105,381,129,386;0;;270;123;664.3;16.05;1.49;14.81
;;;;481,381,489,472;0;;90;361;690;6.25;27.19;5
;;;;490,381,492,472;0;;90;361;690;13.75;27.19;1.25
;;;;105,394,129,400;0;;270;123;672.37;16.05;1.79;14.81
;;;;117,400,120,472;0;;270;123;695.68;14.2;21.52;1.85
;;;;120,400,129,472;0;;270;123;695.68;6.79;21.52;5.56
;;;;129,471,170,480;0;;180;136.26;716;6.88;13.94;5.63
;;;;178,471,288,480;0;;180;193.04;716;6.88;37.4;5.63
;;;;322,471,375,480;0;;180;271.58;716;6.88;18.02;5.63
;;;;380,471,416,480;0;;180;305.24;716;6.88;12.24;5.63
;;;;439,471,480,480;0;;180;347.06;716;6.88;13.94;5.63
;;;;129,480,170,484;0;;180;136.26;716;15;13.94;2.5
;;;;178,480,288,484;0;;180;193.04;716;15;37.4;2.5
;;;;322,480,431,484;0;;180;290.62;716;15;37.06;2.5
;;;;439,480,480,484;0;;180;347.06;716;15;13.94;2.5
;;;;129,540,288,550;0;;180;176.38;716;93.75;54.06;6.25
;;;;322,540,480,550;0;;180;307.28;716;93.75;53.72;6.25
