description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;137,19,194,45;2;;0;174.39;268;81.97;6.39;10.66
;;;;137,47,194,76;2;;0;174.39;268;57.79;6.39;11.89
;;;;137,78,162,104;2;;0;170.8;268;33.61;2.8;10.66
;;;;165,78,194,104;2;;0;177.53;268;33.61;3.25;10.66
;;;;24,132,50,166;2;;270;168;272.47;82.64;4.47;10.74
;;;;53,132,81,181;2;;270;168;274.44;57.85;6.44;11.57
;;;;84,132,108,180;2;;270;168;274.31;33.88;6.31;9.92
;;;;221,132,247,171;2;;90;181;273.12;32.77;5.12;10.92
;;;;250,132,277,201;2;;90;181;277.06;57.56;9.06;11.34
;;;;280,132,305,201;2;;90;181;277.06;81.93;9.06;10.5
;;;;241,203,256,250;2;;90;181;292.83;44.96;6.17;6.3
;;;;137,280,181,308;2;;180;172.93;299;34.92;4.93;11.11
;;;;137,310,168,339;2;;180;171.47;299;59.13;3.47;11.51
;;;;137,341,189,368;2;;180;173.83;299;82.94;5.83;10.71
;;;;137,13,194,17;0;;0;174.39;268;95.9;6.39;1.64
;;;;137,106,194,109;0;;0;174.39;268;20.08;6.39;1.23
;;;;137,111,194,130;0;;0;174.39;268;9.43;6.39;7.79
;;;;111,131,113,250;0;;270;168;283.37;20.66;15.63;0.83
;;;;19,132,21,250;0;;270;168;283.5;96.69;15.5;0.83
;;;;116,132,134,250;0;;270;168;283.5;9.92;15.5;7.44
;;;;197,132,213,201;0;;90;181;277.06;8.4;9.06;6.72
;;;;216,132,218,201;0;;90;181;277.06;18.49;9.06;0.84
;;;;308,132,310,250;0;;90;181;283.5;95.8;15.5;0.84
;;;;24,168,50,250;0;;270;168;288.23;82.64;10.77;10.74
;;;;221,173,247,201;0;;90;181;282.45;32.77;3.68;10.92
;;;;84,182,108,250;0;;270;168;290.07;33.88;8.93;9.92
;;;;53,183,81,250;0;;270;168;290.2;57.85;8.8;11.57
;;;;197,203,213,220;0;;90;181;288.89;8.4;2.23;6.72
;;;;216,203,218,220;0;;90;181;288.89;18.49;2.23;0.84
;;;;221,203,238,220;0;;90;181;288.89;28.99;2.23;7.14
;;;;259,203,277,250;0;;90;181;292.83;61.34;6.17;7.56
;;;;280,203,305,250;0;;90;181;292.83;81.93;6.17;10.5
;;;;137,252,211,273;0;;180;176.29;299;9.92;8.29;8.33
;;;;137,275,211,278;0;;180;176.29;299;21.03;8.29;1.19
;;;;184,280,211,295;0;;180;181.56;299;29.76;3.03;5.95
;;;;184,295,189,308;0;;180;179.09;299;40.87;0.56;5.16
;;;;171,310,189,339;0;;180;177.64;299;59.13;2.02;11.51
;;;;137,370,189,374;0;;180;173.83;299;96.83;5.83;1.59
;;;;335,213,347,257;2;;270;188.55;295;85;3.52;10
;;;;350,213,388,225;0;;270;188.55;292.44;38.33;0.96;31.67
;;;;350,243,388,257;0;;270;188.55;297.4;38.33;1.12;31.67
