description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;176,40,219,75;2;;0;214.3;190;80.2;6.3;11.74
;;;;371,40,414,75;2;;0;271.41;190;80.2;6.3;11.74
;;;;38,177,71,222;2;;270;208;196.66;83.79;6.66;11.38
;;;;72,177,108,210;2;;270;208;194.88;59.31;4.88;12.41
;;;;514,177,550,227;2;;90;278;197.4;82.98;7.4;12.77
;;;;38,222,71,275;2;;270;208;211.16;83.79;7.84;11.38
;;;;514,227,550,275;2;;90;278;211.9;82.98;7.1;12.77
;;;;175,306,234,342;2;;180;216.35;219;32.24;8.64;11.84
;;;;236,306,269,336;2;;180;230.41;219;30.26;4.83;9.87
;;;;320,306,354,336;2;;180;255.15;219;30.26;4.98;9.87
;;;;355,306,414,342;2;;180;269.07;219;32.24;8.64;11.84
;;;;236,336,269,363;2;;180;230.41;219;49.01;4.83;8.88
;;;;320,336,354,363;2;;180;255.15;219;49.01;4.98;8.88
;;;;175,342,234,378;2;;180;216.35;219;55.92;8.64;11.84
;;;;355,342,414,378;2;;180;269.07;219;55.92;8.64;11.84
;;;;236,364,269,392;2;;180;230.41;219;67.76;4.83;9.21
;;;;320,364,354,392;2;;180;255.15;219;67.76;4.98;9.21
;;;;175,378,234,414;2;;180;216.35;219;79.61;8.64;11.84
;;;;355,378,414,414;2;;180;269.07;219;79.61;8.64;11.84
;;;;236,392,293,427;2;;180;233.92;219;88.49;8.35;11.51
;;;;294,392,354,427;2;;180;251.35;219;88.49;8.79;11.51
;;;;220,29,370,34;0;;0;242.85;190;97.65;21.97;1.68
;;;;176,34,219,40;0;;0;214.3;190;93.96;6.3;2.01
;;;;220,34,245,46;0;;0;224.55;190;91.95;3.66;4.03
;;;;246,34,344,46;0;;0;242.85;190;91.95;14.35;4.03
;;;;345,34,370,46;0;;0;261.16;190;91.95;3.66;4.03
;;;;371,34,414,40;0;;0;271.41;190;93.96;6.3;2.01
;;;;221,46,245,68;0;;0;224.69;190;80.54;3.51;7.38
;;;;345,46,369,68;0;;0;261.01;190;80.54;3.51;7.38
;;;;221,69,245,91;0;;0;224.69;190;65.1;3.51;7.38
;;;;345,69,369,91;0;;0;261.01;190;65.1;3.51;7.38
;;;;176,76,219,96;0;;0;214.3;190;61.07;6.3;6.71
;;;;371,76,414,96;0;;0;271.41;190;61.07;6.3;6.71
;;;;221,91,245,111;0;;0;224.69;190;51.01;3.51;6.71
;;;;345,91,369,111;0;;0;261.01;190;51.01;3.51;6.71
;;;;176,96,219,111;0;;0;214.3;190;49.33;6.3;5.03
;;;;371,96,414,111;0;;0;271.41;190;49.33;6.3;5.03
;;;;176,111,186,177;0;;0;209.46;190;22.15;1.46;22.15
;;;;187,111,209,177;0;;0;214.44;190;22.15;3.22;22.15
;;;;211,111,219,177;0;;0;219.42;190;22.15;1.17;22.15
;;;;221,111,245,144;0;;0;224.69;190;33.22;3.51;11.07
;;;;345,111,369,144;0;;0;261.01;190;33.22;3.51;11.07
;;;;371,111,379,177;0;;0;266.28;190;22.15;1.17;22.15
;;;;380,111,402,177;0;;0;270.97;190;22.15;3.22;22.15
;;;;404,111,414,177;0;;0;276.24;190;22.15;1.46;22.15
;;;;221,144,245,148;0;;0;224.69;190;20.81;3.51;1.34
;;;;345,144,369,148;0;;0;261.01;190;20.81;3.51;1.34
;;;;221,148,245,176;0;;0;224.69;190;10.07;3.51;9.4
;;;;345,148,369,176;0;;0;261.01;190;10.07;3.51;9.4
;;;;32,177,36,275;0;;270;208;204.5;97.93;14.5;1.38
;;;;110,177,144,210;0;;270;208;194.88;33.79;4.88;11.72
;;;;146,177,149,210;0;;270;208;194.88;19.66;4.88;1.03
;;;;150,177,175,210;0;;270;208;194.88;9.31;4.88;8.62
;;;;416,177,438,216;0;;90;278;195.77;8.51;5.77;7.8
;;;;438,177,441,216;0;;90;278;195.77;17.38;5.77;1.06
;;;;443,177,513,200;0;;90;278;193.4;44.68;3.4;24.82
;;;;552,177,554,275;0;;90;278;204.5;97.87;14.5;0.71
;;;;443,201,478,216;0;;90;278;199.32;32.27;2.22;12.41
;;;;479,201,501,265;0;;90;278;206.57;53.19;9.47;7.8
;;;;502,201,513,265;0;;90;278;206.57;65.6;9.47;3.9
;;;;72,210,85,262;0;;270;208;207.46;67.24;7.69;4.48
;;;;87,210,108,262;0;;270;208;207.46;54.14;7.69;7.24
;;;;110,210,144,222;0;;270;208;201.54;33.79;1.78;11.72
;;;;146,210,149,222;0;;270;208;201.54;19.66;1.78;1.03
;;;;150,210,175,222;0;;270;208;201.54;9.31;1.78;8.62
;;;;110,249,145,262;0;;270;208;213.23;33.45;1.92;12.07
;;;;147,249,149,262;0;;270;208;213.23;19.31;1.92;0.69
;;;;151,249,175,262;0;;270;208;213.23;8.97;1.92;8.28
;;;;416,250,438,275;0;;90;278;215.3;8.51;3.7;7.8
;;;;438,250,441,275;0;;90;278;215.3;17.38;3.7;1.06
;;;;443,250,478,265;0;;90;278;213.82;32.27;2.22;12.41
;;;;72,263,145,275;0;;270;208;217.22;46.55;1.78;25.17
;;;;147,263,149,275;0;;270;208;217.22;19.31;1.78;0.69
;;;;151,263,175,275;0;;270;208;217.22;8.97;1.78;8.28
;;;;443,265,513,275;0;;90;278;217.52;44.68;1.48;24.82
;;;;175,275,234,301;0;;180;216.35;219;8.55;8.64;8.55
;;;;236,275,269,301;0;;180;230.41;219;8.55;4.83;8.55
;;;;320,275,354,301;0;;180;255.15;219;8.55;4.98;8.55
;;;;355,275,414,301;0;;180;269.07;219;8.55;8.64;8.55
;;;;175,301,234,305;0;;180;216.35;219;18.42;8.64;1.32
;;;;236,301,269,305;0;;180;230.41;219;18.42;4.83;1.32
;;;;320,301,354,305;0;;180;255.15;219;18.42;4.98;1.32
;;;;355,301,414,305;0;;180;269.07;219;18.42;8.64;1.32
;;;;175,414,234,419;0;;180;216.35;219;93.09;8.64;1.64
;;;;355,414,414,419;0;;180;269.07;219;93.09;8.64;1.64
