description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;400,117,457,234;2;;90;313;205.5;62.94;13.5;33.53
;;;;178,136,232,156;2;;270;286.23;198.69;52.94;2.31;26.47
;;;;178,196,232,215;2;;270;286.23;212.42;52.94;2.19;26.47
;;;;258,257,315,295;2;;180;292.58;219;49.41;6.58;22.35
;;;;348,258,374,295;2;;180;309.77;219;50;3;21.76
;;;;258,297,374,317;2;;180;299.38;219;85.88;13.38;11.76
;;;;160,117,232,134;0;;270;286.23;193.96;61.76;1.96;35.29
;;;;235,117,237,156;0;;270;286.23;196.5;22.55;4.5;0.98
;;;;240,117,255,156;0;;270;286.23;196.5;11.27;4.5;7.35
;;;;377,117,392,234;0;;90;313;205.5;11.18;13.5;8.82
;;;;395,117,397,234;0;;90;313;205.5;24.71;13.5;1.18
;;;;160,136,175,215;0;;270;286.23;205.5;89.71;9.12;7.35
;;;;235,196,237,234;0;;270;286.23;214.62;22.55;4.38;0.98
;;;;240,196,255,234;0;;270;286.23;214.62;11.27;4.38;7.35
;;;;159,217,232,234;0;;270;286.23;217.04;62.25;1.96;35.78
;;;;258,236,315,250;0;;180;292.58;219;10.59;6.58;8.24
;;;;348,236,374,251;0;;180;309.77;219;11.18;3;8.82
;;;;258,252,315,255;0;;180;292.58;219;22.94;6.58;1.76
;;;;348,253,374,256;0;;180;309.77;219;24.12;3;1.76
