description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;176,45,207,71;2;;0;195.47;268.34;85.62;6.47;8.5
;;;;210,45,240,71;2;;0;209.46;268.34;85.62;6.26;8.5
;;;;243,45,273,71;2;;0;223.25;268.34;85.62;6.26;8.5
;;;;339,45,369,71;2;;0;263.34;268.34;85.62;6.26;8.5
;;;;372,45,402,71;2;;0;277.12;268.34;85.62;6.26;8.5
;;;;405,45,436,71;2;;0;291.11;268.34;85.62;6.47;8.5
;;;;176,73,207,101;2;;0;195.47;268.34;66.67;6.47;9.15
;;;;210,73,240,101;2;;0;209.46;268.34;66.67;6.26;9.15
;;;;243,73,273,101;2;;0;223.25;268.34;66.67;6.26;9.15
;;;;339,73,369,101;2;;0;263.34;268.34;66.67;6.26;9.15
;;;;372,73,402,101;2;;0;277.12;268.34;66.67;6.26;9.15
;;;;405,73,436,101;2;;0;291.11;268.34;66.67;6.47;9.15
;;;;176,103,273,159;2;;0;209.25;268.34;37.91;20.25;18.3
;;;;339,103,436,159;2;;0;277.33;268.34;37.91;20.25;18.3
;;;;32,188,57,218;2;;270;189.42;273.11;86.6;5.11;8.17
;;;;60,188,87,218;2;;270;189.42;273.11;67.65;5.11;8.82
;;;;90,188,117,218;2;;270;189.42;273.11;48.04;5.11;8.82
;;;;120,188,147,218;2;;270;189.42;273.11;28.43;5.11;8.82
;;;;495,188,522,226;2;;90;297.58;274.47;47.39;6.47;8.82
;;;;525,188,552,216;2;;90;297.58;272.76;66.99;4.76;8.82
;;;;555,188,580,216;2;;90;297.58;272.76;85.95;4.76;8.17
;;;;525,218,552,246;2;;90;297.58;282.97;66.99;4.76;8.82
;;;;555,218,580,246;2;;90;297.58;282.97;85.95;4.76;8.17
;;;;32,220,57,246;2;;270;189.42;283.32;86.6;4.42;8.17
;;;;60,220,87,246;2;;270;189.42;283.32;67.65;4.42;8.82
;;;;90,220,117,246;2;;270;189.42;283.32;48.04;4.42;8.82
;;;;120,220,147,246;2;;270;189.42;283.32;28.43;4.42;8.82
;;;;193,225,208,257;2;;90;196.1;286.04;50;5.45;50
;;;;208,225,224,257;2;;270;209.05;286.04;50;5.45;50
;;;;255,225,270,257;2;;90;221.99;286.04;50;5.45;50
;;;;270,225,286,257;2;;270;234.94;286.04;50;5.45;50
;;;;327,225,342,257;2;;90;252.06;286.04;50;5.45;50
