description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;252,29,366,59;2;;0;299.38;98;82.05;13.38;12.82
;;;;252,60,366,89;2;;0;299.38;98;55.98;13.38;12.39
;;;;252,90,366,118;2;;0;299.38;98;30.77;13.38;11.97
;;;;140,140,160,180;2;;270;286.23;104.75;85.83;6.75;8.33
;;;;392,140,419,178;2;;90;313;104.41;32.63;6.41;11.44
;;;;421,140,449,178;2;;90;313;104.41;57.63;6.41;11.86
;;;;451,140,478,178;2;;90;313;104.41;82.63;6.41;11.44
;;;;183,150,227,166;2;;270;286.23;104.08;40;2.7;18.33
;;;;392,179,419,220;2;;90;313;118.08;32.63;6.92;11.44
;;;;421,179,449,220;2;;90;313;118.08;57.63;6.92;11.86
;;;;451,179,478,220;2;;90;313;118.08;82.63;6.92;11.44
;;;;140,181,160,220;2;;270;286.23;118.42;85.83;6.58;8.33
;;;;183,194,227,210;2;;270;286.23;118.93;40;2.7;18.33
;;;;252,243,366,271;2;;180;299.38;125;31.62;13.38;11.97
;;;;252,272,366,301;2;;180;299.38;125;56.84;13.38;12.39
;;;;252,302,366,332;2;;180;299.38;125;82.91;13.38;12.82
;;;;252,25,366,28;0;;0;299.38;98;97.01;13.38;1.28
;;;;252,119,366,122;0;;0;299.38;98;16.67;13.38;1.28
;;;;252,123,366,139;0;;0;299.38;98;7.69;13.38;6.84
;;;;135,140,138,220;0;;270;286.23;111.5;97.08;13.5;1.25
;;;;162,140,227,149;0;;270;286.23;99.52;48.75;1.52;27.08
;;;;229,140,232,166;0;;270;286.23;102.39;18.75;4.39;1.25
;;;;234,140,250,166;0;;270;286.23;102.39;9.17;4.39;6.67
;;;;368,140,386,220;0;;90;313;111.5;8.47;13.5;7.63
;;;;388,140,390,220;0;;90;313;111.5;18.64;13.5;0.85
;;;;480,140,483,220;0;;90;313;111.5;97.03;13.5;1.27
;;;;162,150,181,210;0;;270;286.23;111.5;67.92;10.13;7.92
;;;;229,194,232,220;0;;270;286.23;120.61;18.75;4.39;1.25
;;;;234,194,250,220;0;;270;286.23;120.61;9.17;4.39;6.67
;;;;162,211,227,220;0;;270;286.23;123.48;48.75;1.52;27.08
;;;;252,221,366,238;0;;180;299.38;125;8.12;13.38;7.26
;;;;252,239,366,242;0;;180;299.38;125;17.52;13.38;1.28
;;;;252,333,366,336;0;;180;299.38;125;97.86;13.38;1.28
