description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;59,146,94,160;2;;90;277.36;201.24;45.5;1.48;17.5
;;;;59,195,94,209;2;;90;277.36;211.6;45.5;1.48;17.5
;;;;33,146,55,160;0;;90;277.36;201.24;13;1.48;11
;;;;55,146,57,160;0;;90;277.36;201.24;25;1.48;1
;;;;95,146,117,209;0;;90;277.36;206.42;75;6.66;11
;;;;118,146,129,209;0;;90;277.36;206.42;92.5;6.66;5.5
;;;;33,195,55,209;0;;90;277.36;211.6;13;1.48;11
;;;;55,195,57,209;0;;90;277.36;211.6;25;1.48;1
