description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Dinge emporheben;8;163;209;187,183,211,205;2;;180;221.38;822.11;26.76;5.59;7.75
Dinge emporheben;8;165;210;92,183,116,205;2;;180;265.39;822.11;26.76;5.35;7.75
fehlt;8;157;205;392,110,417,133;2;;0;265.15;879.44;43.8;5.59;8.76
fehlt;8;155;205;297,133,321,155;2;;0;220.92;879.44;27.74;5.59;8.03
fehlt;8;157;205;392,134,416,153;2;;0;265.15;879.44;27.37;5.59;7.66
;;;;186,209,211,232;0;;180;221.38;822.11;8.1;5.59;8.1
;;;;92,209,116,232;0;;180;265.39;822.11;8.1;5.35;8.1
;;;;186,204,211,210;0;;180;221.38;822.11;17.96;5.59;1.76
;;;;92,205,116,210;0;;180;265.39;822.11;17.61;5.35;1.41
;;;;297,154,322,160;0;;0;220.92;879.44;18.25;5.59;2.19
;;;;392,154,417,160;0;;0;265.15;879.44;18.25;5.59;2.19
;;;;297,159,322,182;0;;0;220.92;879.44;8.03;5.59;8.03
;;;;392,159,417,182;0;;0;265.15;879.44;8.03;5.59;8.03
