description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;166,19,203,46;2;;0;309.81;285;86.02;2.81;11.44
;;;;206,19,244,46;2;;0;315.96;285;86.02;2.89;11.44
;;;;166,48,203,76;2;;0;309.81;285;61.02;2.81;11.86
;;;;206,48,244,76;2;;0;315.96;285;61.02;2.89;11.86
;;;;166,78,203,107;2;;0;309.81;285;35.17;2.81;12.29
;;;;206,78,244,107;2;;0;315.96;285;35.17;2.89;12.29
;;;;55,134,81,173;2;;270;307;288.53;85.96;3.53;11.4
;;;;84,134,100,243;2;;270;307;294.87;64.91;9.87;7.02
;;;;123,134,141,144;2;;270;307;285.91;29.82;0.91;7.89
;;;;272,134,286,142;2;;90;319;285.72;29.31;0.72;6.03
;;;;307,134,326,212;2;;90;319;292.06;61.64;7.06;8.19
;;;;329,134,358,172;2;;90;319;288.44;84.91;3.44;12.5
;;;;329,174,358,212;2;;90;319;295.68;84.91;3.44;12.5
;;;;55,175,81,213;2;;270;307;295.86;85.96;3.44;11.4
;;;;272,192,287,212;2;;90;319;297.31;29.74;1.81;6.47
;;;;290,192,304,212;2;;90;319;297.31;44.83;1.81;6.03
;;;;103,213,121,243;2;;270;307;302.02;47.37;2.72;7.89
;;;;124,213,141,243;2;;270;307;302.02;29.39;2.72;7.46
;;;;272,214,295,250;2;;90;319;302.74;33.19;3.26;9.91
;;;;298,214,326,250;2;;90;319;302.74;57.76;3.26;12.07
;;;;329,214,358,250;2;;90;319;302.74;84.91;3.26;12.5
;;;;55,215,81,250;2;;270;307;302.83;85.96;3.17;11.4
;;;;166,318,204,336;2;;180;309.89;306;64.71;2.89;7.56
;;;;207,318,244,336;2;;180;316.04;306;64.71;2.81;7.56
;;;;166,338,204,367;2;;180;309.89;306;86.13;2.89;12.18
;;;;207,338,244,367;2;;180;316.04;306;86.13;2.81;12.18
;;;;166,109,244,113;0;;0;312.92;285;19.49;5.92;1.69
;;;;166,115,244,132;0;;0;312.92;285;8.9;5.92;7.2
;;;;266,133,269,143;0;;90;319;285.72;19.4;0.91;1.29
;;;;103,134,120,144;0;;270;307;285.91;47.81;0.91;7.46
;;;;144,134,147,144;0;;270;307;285.91;17.98;0.91;1.32
;;;;150,134,163,144;0;;270;307;285.91;8.33;0.91;5.7
;;;;247,134,263,142;0;;90;319;285.72;8.62;0.72;6.9
;;;;289,134,304,142;0;;90;319;285.72;44.4;0.72;6.47
;;;;266,191,269,212;0;;90;319;297.22;19.4;1.9;1.29
;;;;247,192,263,212;0;;90;319;297.31;8.62;1.81;6.9
;;;;144,213,147,243;0;;270;307;302.02;17.98;2.72;1.32
;;;;150,213,163,243;0;;270;307;302.02;8.33;2.72;5.7
;;;;247,214,263,250;0;;90;319;302.74;8.62;3.26;6.9
;;;;266,214,269,250;0;;90;319;302.74;19.4;3.26;1.29
;;;;84,245,141,250;0;;270;307;305.55;46.93;0.45;25
;;;;144,245,147,250;0;;270;307;305.55;17.98;0.45;1.32
;;;;150,245,163,250;0;;270;307;305.55;8.33;0.45;5.7
;;;;166,252,169,295;0;;180;307.23;306;19.75;0.23;18.07
;;;;207,252,244,269;0;;180;316.04;306;8.82;2.81;7.14
;;;;207,271,244,275;0;;180;316.04;306;19.33;2.81;1.68
;;;;207,277,244,295;0;;180;316.04;306;30.25;2.81;7.56
;;;;166,297,244,316;0;;180;312.92;306;47.48;5.92;7.98
