description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;121,90,239,102;0;;180;177.44;11;10.26;63.44;7.69
;;;;241,90,359,102;0;;180;306.48;11;10.26;63.44;7.69
;;;;45,166,56,895;0;;90;114;222.83;11.88;211.83;6.88
;;;;424,166,435,583;0;;270;371;132.17;10.9;121.17;7.05
;;;;403,199,422,230;0;;270;371;39.19;32.69;9.01;12.18
;;;;403,252,422,280;0;;270;371;69.11;32.69;8.14;12.18
;;;;403,303,422,333;0;;270;371;99.33;32.69;8.72;12.18
;;;;403,365,422,385;0;;270;371;132.46;32.69;5.81;12.18
;;;;403,407,422,436;0;;270;371;159.48;32.69;8.43;12.18
;;;;403,466,422,486;0;;270;371;191.16;32.69;5.81;12.18
;;;;403,506,422,536;0;;270;371;217.31;32.69;8.72;12.18
;;;;403,558,422,583;0;;270;371;246.07;32.69;7.26;12.18
;;;;396,582,399,617;0;;270;371;262.93;51.92;10.17;1.92
;;;;424,616,435,895;0;;270;371;353.59;10.9;81.07;7.05
;;;;45,896,83,922;0;;90;114;442.79;28.75;7.55;23.75
;;;;397,896,435,901;0;;270;371;436.69;28.21;1.45;24.36
;;;;397,901,405,921;0;;270;371;443.95;47.44;5.81;5.13
;;;;45,922,56,1268;0;;90;114;550.89;11.88;100.54;6.88
;;;;424,922,435,1213;0;;270;371;534.9;10.9;84.56;7.05
;;;;382,1214,435,1223;0;;270;371;622.66;37.82;2.62;33.97
;;;;382,1223,388,1261;0;;270;371;636.31;67.95;11.04;3.85
;;;;424,1262,435,1369;0;;270;371;679.03;10.9;31.09;7.05
;;;;45,1269,77,1290;0;;90;114;658.11;25;6.1;20
;;;;45,1291,56,1369;0;;90;114;687.46;11.88;22.66;6.88
;;;;45,1372,56,1384;0;;90;114;715.35;11.88;3.49;6.88
;;;;89,1372,103,1384;0;;90;114;715.35;68.75;3.49;8.75
;;;;377,1372,391,1384;0;;270;371;715.35;69.23;3.49;8.97
;;;;424,1372,435,1384;0;;270;371;715.35;10.9;3.49;7.05
