description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;268,22,382,52;2;;0;302.91;71;82.05;9.91;12.82
;;;;268,53,382,82;2;;0;302.91;71;55.98;9.91;12.39
;;;;268,83,382,111;2;;0;302.91;71;30.77;9.91;11.97
;;;;156,133,176,171;2;;270;293;76.23;85.71;5.23;8.4
;;;;178,133,211,158;2;;270;293;74.44;61.76;3.44;13.87
;;;;213,133,243,158;2;;270;293;74.44;33.61;3.44;12.61
;;;;408,133,435,171;2;;90;313;76.23;32.63;5.23;11.44
;;;;437,133,465,171;2;;90;313;76.23;57.63;5.23;11.86
;;;;467,133,494,171;2;;90;313;76.23;82.63;5.23;11.44
;;;;156,172,176,213;2;;270;293;87.36;85.71;5.64;8.4
;;;;408,172,435,213;2;;90;313;87.36;32.63;5.64;11.44
;;;;437,172,465,213;2;;90;313;87.36;57.63;5.64;11.86
;;;;467,172,494,213;2;;90;313;87.36;82.63;5.64;11.44
;;;;178,188,211,213;2;;270;293;89.56;61.76;3.44;13.87
;;;;213,188,243,213;2;;270;293;89.56;33.61;3.44;12.61
;;;;268,236,382,264;2;;180;302.91;93;31.62;9.91;11.97
;;;;268,265,382,294;2;;180;302.91;93;56.84;9.91;12.39
;;;;268,295,382,325;2;;180;302.91;93;82.91;9.91;12.82
;;;;268,18,382,21;0;;0;302.91;71;97.01;9.91;1.28
;;;;268,112,382,115;0;;0;302.91;71;16.67;9.91;1.28
;;;;268,116,382,132;0;;0;302.91;71;7.69;9.91;6.84
;;;;151,133,154,213;0;;270;293;82;97.06;11;1.26
;;;;245,133,248,158;0;;270;293;74.44;18.07;3.44;1.26
;;;;250,133,266,158;0;;270;293;74.44;8.4;3.44;6.72
;;;;384,133,402,213;0;;90;313;82;8.47;11;7.63
;;;;404,133,406,213;0;;90;313;82;18.64;11;0.85
;;;;496,133,499,213;0;;90;313;82;97.03;11;1.27
;;;;245,188,248,213;0;;270;293;89.56;18.07;3.44;1.26
;;;;250,188,266,213;0;;270;293;89.56;8.4;3.44;6.72
;;;;268,214,382,231;0;;180;302.91;93;8.12;9.91;7.26
;;;;268,232,382,235;0;;180;302.91;93;17.52;9.91;1.28
;;;;268,326,382,329;0;;180;302.91;93;97.86;9.91;1.28
