description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;261,29,319,56;2;;0;173.88;306;85.4;6.88;11.95
;;;;261,58,319,85;2;;0;173.88;306;59.73;6.88;11.95
;;;;261,87,319,110;2;;0;173.88;306;35.84;6.88;10.18
;;;;144,139,174,166;2;;270;167;309.24;85;3.24;12.5
;;;;198,139,231,154;2;;270;167;307.8;38.75;1.8;13.75
;;;;322,139,341,173;2;;90;180.76;310.08;10.25;4.08;7.79
;;;;349,139,373,173;2;;90;180.76;310.08;34.43;4.08;9.84
;;;;376,139,402,173;2;;90;180.76;310.08;57.38;4.08;10.66
;;;;405,139,437,190;2;;90;180.76;312.12;83.61;6.12;13.11
;;;;144,168,174,195;2;;270;167;316.2;85;3.24;12.5
;;;;198,182,231,195;2;;270;167;317.88;38.75;1.56;13.75
;;;;405,192,437,256;2;;90;180.76;326.4;83.61;7.68;13.11
;;;;144,197,174,257;2;;270;167;327.12;85;7.2;12.5
;;;;177,197,203,314;2;;270;167;333.96;59.17;14.04;10.83
;;;;206,197,231,314;2;;270;167;333.96;35.42;14.04;10.42
;;;;349,225,373,266;2;;90;180.76;331.56;34.43;4.92;9.84
;;;;376,225,402,266;2;;90;180.76;331.56;57.38;4.92;10.66
;;;;405,258,437,314;2;;90;180.76;341.28;83.61;6.72;13.11
;;;;144,259,174,314;2;;270;167;341.4;85;6.6;12.5
;;;;349,268,373,314;2;;90;180.76;342.48;34.43;5.52;9.84
;;;;376,268,402,314;2;;90;180.76;342.48;57.38;5.52;10.66
;;;;261,343,319,372;2;;180;173.88;348;35.37;6.88;11.79
;;;;261,374,319,404;2;;180;173.88;348;60.98;6.88;12.2
;;;;261,406,319,434;2;;180;173.88;348;86.18;6.88;11.38
;;;;261,112,319,115;0;;0;173.88;306;22.57;6.88;1.33
;;;;261,117,319,137;0;;0;173.88;306;10.62;6.88;8.85
;;;;177,139,195,195;0;;270;167;312.72;62.5;6.72;7.5
;;;;234,139,236,154;0;;270;167;307.8;21.67;1.8;0.83
;;;;239,139,258,154;0;;270;167;307.8;10.42;1.8;7.92
;;;;344,139,346,173;0;;90;180.76;310.08;21.31;4.08;0.82
;;;;234,182,236,195;0;;270;167;317.88;21.67;1.56;0.83
;;;;239,182,258,195;0;;270;167;317.88;10.42;1.56;7.92
;;;;234,197,236,314;0;;270;167;333.96;21.67;14.04;0.83
;;;;239,197,258,314;0;;270;167;333.96;10.42;14.04;7.92
;;;;322,225,341,314;0;;90;180.76;337.32;10.25;10.68;7.79
;;;;344,225,346,314;0;;90;180.76;337.32;21.31;10.68;0.82
;;;;261,316,319,336;0;;180;173.88;348;9.76;6.88;8.13
;;;;261,338,319,341;0;;180;173.88;348;20.73;6.88;1.22
;;;;26,158,60,168;2;;0;166;307.13;25.64;1.2;21.79
;;;;51,135,66,150;2;;90;164.27;307.96;27.6;0.96;7.81
;;;;69,135,86,150;2;;90;164.27;307.96;47.4;0.96;8.85
;;;;89,135,106,150;2;;90;164.27;307.96;68.23;0.96;8.85
;;;;109,135,124,150;2;;90;164.27;307.96;88.02;0.96;7.81
;;;;51,188,66,203;2;;90;164.27;314.78;27.6;0.96;7.81
;;;;69,188,86,203;2;;90;164.27;314.78;47.4;0.96;8.85
;;;;89,188,106,203;2;;90;164.27;314.78;68.23;0.96;8.85
;;;;109,188,124,203;2;;90;164.27;314.78;88.02;0.96;7.81
;;;;35,135,43,150;0;;90;164.27;307.96;7.29;0.96;4.17
;;;;46,135,48,150;0;;90;164.27;307.96;15.63;0.96;1.04
;;;;109,152,124,167;0;;90;164.27;310.15;88.02;0.96;7.81
;;;;109,169,124,186;0;;90;164.27;312.46;88.02;1.09;7.81
;;;;35,188,43,203;0;;90;164.27;314.78;7.29;0.96;4.17
;;;;46,188,48,203;0;;90;164.27;314.78;15.63;0.96;1.04
