description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;144,17,200,47;2;;0;180.57;191;82.2;6.57;12.71
;;;;202,17,258,47;2;;0;194.19;191;82.2;6.57;12.71
;;;;144,48,200,77;2;;0;180.57;191;56.36;6.57;12.29
;;;;202,48,258,77;2;;0;194.19;191;56.36;6.57;12.29
;;;;144,78,200,106;2;;0;180.57;191;31.36;6.57;11.86
;;;;202,78,258,106;2;;0;194.19;191;31.36;6.57;11.86
;;;;32,129,59,170;2;;270;174;198.18;82.77;7.18;11.34
;;;;61,129,89,170;2;;270;174;198.18;57.98;7.18;11.76
;;;;91,129,118,170;2;;270;174;198.18;33.19;7.18;11.34
;;;;350,129,370,168;2;;90;201;197.83;85.59;6.83;8.47
;;;;283,139,327,155;2;;90;201;197.3;38.98;2.8;18.64
;;;;350,169,370,209;2;;90;201;212;85.59;7;8.47
;;;;32,171,59,209;2;;270;174;212.35;82.77;6.65;11.34
;;;;61,171,89,209;2;;270;174;212.35;57.98;6.65;11.76
;;;;91,171,118,209;2;;270;174;212.35;33.19;6.65;11.34
;;;;283,183,327,199;2;;90;201;212.7;38.98;2.8;18.64
;;;;144,231,200,259;2;;180;180.57;219;31.03;6.57;12.07
;;;;202,231,258,259;2;;180;194.19;219;31.03;6.57;12.07
;;;;144,260,200,289;2;;180;180.57;219;56.47;6.57;12.5
;;;;202,260,258,289;2;;180;194.19;219;56.47;6.57;12.5
;;;;144,290,200,320;2;;180;180.57;219;82.76;6.57;12.93
;;;;202,290,258,320;2;;180;194.19;219;82.76;6.57;12.93
;;;;144,13,258,16;0;;0;187.38;191;97.03;13.38;1.27
;;;;144,107,258,110;0;;0;187.38;191;17.37;13.38;1.27
;;;;144,111,258,128;0;;0;187.38;191;8.05;13.38;7.2
;;;;27,129,30,209;0;;270;174;205;97.06;14;1.26
;;;;120,129,122,209;0;;270;174;205;19.33;14;0.84
;;;;124,129,142,209;0;;270;174;205;9.24;14;7.56
;;;;260,129,276,155;0;;90;201;195.55;7.63;4.55;6.78
;;;;278,129,281,155;0;;90;201;195.55;17.37;4.55;1.27
;;;;283,129,348,138;0;;90;201;192.58;47.88;1.58;27.54
;;;;372,129,375,209;0;;90;201;205;97.03;14;1.27
;;;;329,139,348,199;0;;90;201;205;67.37;10.5;8.05
;;;;260,183,276,209;0;;90;201;214.45;7.63;4.55;6.78
;;;;278,183,281,209;0;;90;201;214.45;17.37;4.55;1.27
;;;;283,200,348,209;0;;90;201;217.43;47.88;1.58;27.54
;;;;144,210,258,226;0;;180;187.38;219;7.76;13.38;6.9
;;;;144,227,258,230;0;;180;187.38;219;16.81;13.38;1.29
;;;;144,321,258,324;0;;180;187.38;219;97.84;13.38;1.29
