description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;166,38,181,73;2;;180;312.65;306.45;52.6;1.19;22.73
;;;;139,75,181,89;2;;180;310.5;306.45;87.01;3.34;9.09
;;;;212,38,228,73;2;;90;313.84;309.36;66.67;4.36;28.33
;;;;212,18,228,31;2;;90;313.84;309.36;15;4.36;10
;;;;166,18,181,31;0;;180;312.65;306.45;12.34;1.19;8.44
;;;;166,33,181,36;0;;180;312.65;306.45;25.32;1.19;1.95
;;;;212,33,228,36;0;;90;313.84;309.36;31.67;4.36;1.67
