description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Kaelber treiben;5;086;113;130,521,153,540;Chassinat/5_086.jpg;180;130.82;716;75.63;7.82;11.88
Lotos darreichen;5;084;113;153,521,233,540;Chassinat/5_084.jpg;180;165.84;716;75.63;27.2;11.88
Milch darreichen;5;083;113;234,521,251,541;Chassinat/5_083.jpg;180;199.5;716;76.25;5.78;12.5
Salbe darreichen;5;083;113;251,520,268,541;Chassinat/5_083.jpg;180;211.06;716;75.63;5.78;13.13
Libieren und Weihräuchern;5;082;113;267,521,289,541;Chassinat/5_082.jpg;180;223.64;716;76.25;7.48;12.5
Wein darreichen;5;064;113;130,502,152,520;Chassinat/5_064.jpg;180;130.48;716;51.25;7.48;11.25
Libieren und Weihräuchern;5;061;113;153,503,233,521;Chassinat/5_061.jpg;180;165.84;716;52.5;27.2;11.25
Dinge emporheben;5;061;113;234,502,250,521;Chassinat/5_061.jpg;180;199.16;716;51.88;5.44;11.88
Wein und Kranz darreichen;5;060;113;252,502,267,520;Chassinat/5_060.jpg;180;211.06;716;51.25;5.1;11.25
Dinge emporheben;5;059;113;268,503,288,521;Chassinat/5_059.jpg;180;223.64;716;52.5;6.8;11.25
Gott schauen;5;039;113;129,483,153,502;Chassinat/5_039.jpg;180;130.48;716;28.13;8.16;11.88
einführen;5;039;113;152,484,171,503;Chassinat/5_039.jpg;180;144.42;716;29.38;6.46;11.88
Weißbrot darbringen;8;108;113;170,490,179,503;Chassinat/8_108.jpg;180;153.26;716;33.13;3.06;8.13
Sänfte;5;038;113;178,483,227,503;Chassinat/5_038.jpg;180;172.3;716;28.75;16.66;12.5
Krönung;5;037;113;227,483,243,503;Chassinat/5_037.jpg;180;194.4;716;28.75;5.44;12.5
Reinigung;5;036;113;243,483,264,503;Chassinat/5_036.jpg;180;206.98;716;28.75;7.14;12.5
Herausgehen aus dem Palast (Darstellung: Iunmutef weihräuchern);5;035;113;265,483,288,502;Chassinat/5_035.jpg;180;222.62;716;28.13;7.82;11.88
Weihräuchern und Libieren;5;178;117;321,522,343,540;Chassinat/5_178.jpg;180;260.36;716;76.25;7.48;11.25
Salbe darreichen;5;179;117;343,521,359,541;Chassinat/5_179.jpg;180;273.28;716;76.25;5.44;12.5
Feigen darreichen;5;179;117;359,521,376,540;Chassinat/5_179.jpg;180;284.5;716;75.63;5.78;11.88
Gott anbeten;5;180;117;375,521,458,541;Chassinat/5_180.jpg;180;317.82;716;76.25;28.22;12.5
Meretkästen ziehen;5;183;117;458,521,482,542;Chassinat/5_183.jpg;180;354.2;716;76.88;8.16;13.13
Dinge emporheben;5;158;117;321,502,343,522;Chassinat/5_158.jpg;180;260.36;716;52.5;7.48;12.5
Myrrhe darreichen;5;159;117;342,502,359,523;Chassinat/5_159.jpg;180;272.94;716;53.13;5.78;13.13
Milch darreichen;5;159;117;359,502,376,522;Chassinat/5_159.jpg;180;284.5;716;52.5;5.78;12.5
Weihräuchern und Libieren;5;160;117;377,502,457,522;Chassinat/5_160.jpg;180;318.16;716;52.5;27.2;12.5
Fruchtgetränk darreichen;5;162;117;457,502,480,521;Chassinat/5_162.jpg;180;353.18;716;51.88;7.82;11.88
Herauskommen aus dem Palast (Darstellung: Inumutef weihräuchern);5;136;117;321,483,346,502;Chassinat/5_136.jpg;180;261.38;716;28.13;8.5;11.88
Reinigung;5;137;117;346,483,367,502;Chassinat/5_137.jpg;180;277.02;716;28.13;7.14;11.88
Krönung;5;138;117;368,483,384,502;Chassinat/5_138.jpg;180;290.28;716;28.13;5.44;11.88
Chepeschschwert darreichen;5;139;117;383,483,431,502;Chassinat/5_139.jpg;180;311.36;716;28.13;16.32;11.88
Weihräuchern und Libieren;8;146;117;431,490,439,502;Chassinat/8_146.jpg;180;330.4;716;32.5;2.72;7.5
Einführung;5;140;117;440,483,458,502;Chassinat/5_140.jpg;180;339.92;716;28.13;6.12;11.88
Erde küssen;5;140;117;457,484,481,502;Chassinat/5_140.jpg;180;353.52;716;28.75;8.16;11.25
Leben empfangen;5;129;127, 1;375,471,380,479;Chassinat/5_129.jpg;180;291.3;716;6.25;1.7;5
Wein darreichen;5;129;127 1;417,471,432,479;Chassinat/5_129.jpg;180;323.26;716;6.25;5.1;5
Dinge emporheben;5;250;132;139,57,149,76;Chassinat/5_250.jpg;90;129.12;474.84;50;5.68;50
Kleider darreichen;5;247;132;139,91,149,110;Chassinat/5_247.jpg;90;129.12;495.16;50;5.68;50
Schildkröte töten;5;244;132;140,126,149,144;Chassinat/5_244.jpg;90;129.8;515.78;50;5.38;50
Vier Pfeile ?;5;241;132;140,159,148,178;Chassinat/5_241.jpg;90;129.8;535.8;50;5.68;50
Mundöffnung;5;238;132;140,193,148,213;Chassinat/5_238.jpg;90;129.8;556.42;50;5.98;50
Krone;5;235;132;139,226,148,246;Chassinat/5_235.jpg;90;129.12;576.14;50;5.98;50
Wein und Kranz darreichen;5;232;132;140,261,149,279;Chassinat/5_232.jpg;90;129.8;596.47;50;5.38;50
Brot;5;229;132;139,294,148,313;Chassinat/5_229.jpg;90;129.12;616.49;50;5.68;50
Leinenstreifen (mit Neujahrswunsch) opfern;5;226;131;141,327,149,346;Chassinat/5_226.jpg;90;130.48;636.21;50;5.68;50
Halskragen opfern;5;223;131;141,361,148,380;Chassinat/5_223.jpg;90;130.48;656.53;50;5.68;50
Lotos darreichen;5;220;131;139,395,148,413;Chassinat/5_220.jpg;90;129.12;676.55;50;5.38;50
Iunpfeiler;5;216;131;140,429,149,447;Chassinat/5_216.jpg;90;129.8;696.87;50;5.38;50
Feigen ? darreichen;5;213;131;174,429,181,448;Chassinat/5_213.jpg;90;152.92;697.17;50;5.68;50
Opfer;5;209;131;205,430,214,448;Chassinat/5_209.jpg;90;174;697.47;50;5.38;50
Sistrum aufstellen;5;205;131;237,429,246,447;Chassinat/5_205.jpg;90;195.76;696.87;50;5.38;50
Dinge darreichen;5;201;131;270,429,279,447;Chassinat/5_201.jpg;90;218.2;696.87;50;5.38;50
Himmel stützen;5;202;131;279,430,289,448;Chassinat/5_202.jpg;270;231.12;697.47;50;5.38;50
Men-Gefäß opfern;5;206;131;247,429,256,448;Chassinat/5_206.jpg;270;208.68;697.17;50;5.68;50
Krone von Oberägypten und Unterägypten darreichen;5;210;131;215,430,224,448;Chassinat/5_210.jpg;270;186.92;697.47;50;5.38;50
Speer ? darreichen;5;214;131;183,430,192,449;Chassinat/5_214.jpg;270;165.16;697.77;50;5.68;50
Maat derreichen;5;217;131;150,430,159,448;Chassinat/5_217.jpg;270;142.72;697.47;50;5.38;50
Manu opfern;5;221;131;150,396,159,413;Chassinat/5_221.jpg;270;142.72;676.85;50;5.08;50
Sachmet zufriedenstellen;5;224;131;150,362,157,380;Chassinat/5_224.jpg;270;141.36;656.83;50;5.38;50
Udjatauge darreichen;5;227;131;149,328,158,346;Chassinat/5_227.jpg;270;142.04;636.51;50;5.38;50
Opfer und Gottesopfer;5;230;132;150,295,158,313;Chassinat/5_230.jpg;270;142.04;616.79;50;5.38;50
Herzen der Fremdländer töten;5;233;132;150,262,158,277;Chassinat/5_233.jpg;270;142.04;596.17;50;4.48;50
Thron reinigen;5;236;133;149,227,159,245;Chassinat/5_236.jpg;270;142.72;576.14;50;5.38;50
Weihräuchern und Libieren;5;239;132;150,194,159,210;Chassinat/5_239.jpg;270;142.72;555.82;50;4.78;50
Stabstrauß opfern;5;242;132;150,160,157,178;Chassinat/5_242.jpg;270;141.36;536.1;50;5.38;50
Lotos darreichen;5;245;132;150,126,159,143;Chassinat/5_245.jpg;270;142.72;515.48;50;5.08;50
Wein opfern;5;248;132;150,91,159,111;Chassinat/5_248.jpg;270;142.72;495.46;50;5.98;50
Feld darreichen;5;251;132;150,57,159,76;Chassinat/5_251.jpg;270;142.72;474.84;50;5.68;50
Skarabäus darreichen;5;102;116;60,41,79,68;Chassinat/5_102.jpg;270;123;467.67;74.69;8.07;11.73
Himmel stützen;5;081;116;79,41,98,68;Chassinat/5_081.jpg;270;123;467.67;51.23;8.07;11.73
Maat darreichen;5;058;116;98,41,116,68;Chassinat/5_058.jpg;270;123;467.67;28.4;8.07;11.11
Speisebedarf;5;102;116;59,68,79,86;Chassinat/5_102.jpg;270;123;481.11;75.31;5.38;12.35
Milch darreichen;5;080;116;79,67,98,86;Chassinat/5_080.jpg;270;123;480.82;51.23;5.68;11.73
Libieren und Weihräuchern;5;057;116;98,67,116,86;Chassinat/5_057.jpg;270;123;480.82;28.4;5.68;11.11
Doppelkrone darreichen;5;101;116;60,85,79,112;Chassinat/5_101.jpg;270;123;493.96;74.69;8.07;11.73
Apophis töten;5;079;116;78,86,98,112;Chassinat/5_079.jpg;270;123;494.26;51.85;7.77;12.35
Re anbeten;5;056;116;97,86,117,112;Chassinat/5_056.jpg;270;123;494.26;28.4;7.77;12.35
Papyrusamulett darreichen;5;100;116;59,112,79,129;Chassinat/5_100.jpg;270;123;507.11;75.31;5.08;12.35
Sistrum spielen;5;078;116;79,112,98,129;Chassinat/5_078.jpg;270;123;507.11;51.23;5.08;11.73
Speer darreichen;5;055;116;98,111,116,129;Chassinat/5_055.jpg;270;123;506.81;28.4;5.38;11.11
Sumpfpflanzen darreichen;5;099;116;60,129,78,155;Chassinat/5_099.jpg;270;123;519.96;75.31;7.77;11.11
Myrrhe darbringen;5;078;116;79,129,99,156;Chassinat/5_078.jpg;270;123;520.26;50.62;8.07;12.35
???;5;054;116;98,129,117,156;Chassinat/5_054.jpg;270;123;520.26;27.78;8.07;11.73
Wein darreichen;5;099;116;59,155,78,173;Chassinat/5_099.jpg;270;123;533.11;75.93;5.38;11.73
Spiegel darreichen;5;077;116;78,155,98,173;Chassinat/5_077.jpg;270;123;533.11;51.85;5.38;12.35
Gebäck darreichen;5;053;116;98,155,117,173;Chassinat/5_053.jpg;270;123;533.11;27.78;5.38;11.73
Wenescheb aufstellen;5;098;116;59,173,78,199;Chassinat/5_098.jpg;270;123;546.26;75.93;7.77;11.73
Menit darreichen;5;076;116;78,173,98,199;Chassinat/5_076.jpg;270;123;546.26;51.85;7.77;12.35
Fleischstücke auslösen;5;052;116;99,173,116,199;Chassinat/5_052.jpg;270;123;546.26;27.78;7.77;10.49
Opfer darbringen;5;097;115;59,199,79,217;Chassinat/5_097.jpg;270;123;559.41;75.31;5.38;12.35
Opfer ?;5;076;115;79,199,98,217;Chassinat/5_076.jpg;270;123;559.41;51.23;5.38;11.73
Wein darreichen;5;051;115;98,199,116,217;Chassinat/5_051.jpg;270;123;559.41;28.4;5.38;11.11
Mundöffnung;5;096;115;59,217,78,235;Chassinat/5_096.jpg;270;123;570.17;75.93;5.38;11.73
