description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;37,133,53,158;0;;90;286.47;74.2;9.9;3.48;7.92
;;;;55,133,58,158;0;;90;286.47;74.2;21.29;3.48;1.49
;;;;60,133,111,158;0;;90;286.47;74.2;50;3.48;25.25
;;;;113,133,133,171;0;;90;286.47;76.01;87.13;5.29;9.9
;;;;113,172,133,213;0;;90;286.47;87.29;87.13;5.71;9.9
;;;;37,188,53,213;0;;90;286.47;89.52;9.9;3.48;7.92
;;;;55,188,58,213;0;;90;286.47;89.52;21.29;3.48;1.49
;;;;60,188,111,213;0;;90;286.47;89.52;50;3.48;25.25
