description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;168,326,246,329;0;;0;243.5;101.09;96.7;11.61;1.42
;;;;168,330,246,344;0;;0;243.5;101.09;87.74;11.61;6.6
;;;;168,345,246,369;0;;0;243.5;101.09;68.87;11.61;11.32
;;;;168,370,184,412;0;;0;234.27;101.09;36.79;2.38;19.81
;;;;230,370,246,412;0;;0;252.73;101.09;36.79;2.38;19.81
;;;;168,413,184,428;0;;0;234.27;101.09;8.96;2.38;7.08
;;;;230,413,246,428;0;;0;252.73;101.09;8.96;2.38;7.08
