description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;183,31,247,40;2;;0;165.54;365.55;90.34;19.54;3.78
;;;;249,31,295,40;2;;0;200.36;365.55;90.34;14.05;3.78
;;;;297,31,338,40;2;;0;228.15;365.55;90.34;12.52;3.78
;;;;340,31,384,40;2;;0;255.33;365.55;90.34;13.44;3.78
;;;;386,31,432,40;2;;0;284.03;365.55;90.34;14.05;3.78
;;;;434,31,498,40;2;;0;318.84;365.55;90.34;19.54;3.78
;;;;183,45,202,62;2;;0;151.8;365.55;75.21;5.8;7.14
;;;;204,45,221,62;2;;0;164.02;365.55;75.21;5.19;7.14
;;;;223,45,241,62;2;;0;175.93;365.55;75.21;5.5;7.14
;;;;243,45,261,62;2;;0;188.14;365.55;75.21;5.5;7.14
;;;;263,45,281,62;2;;0;200.36;365.55;75.21;5.5;7.14
;;;;283,45,301,62;2;;0;212.57;365.55;75.21;5.5;7.14
;;;;380,45,398,62;2;;0;271.82;365.55;75.21;5.5;7.14
;;;;400,45,418,62;2;;0;284.03;365.55;75.21;5.5;7.14
;;;;420,45,438,62;2;;0;296.25;365.55;75.21;5.5;7.14
;;;;440,45,458,62;2;;0;308.46;365.55;75.21;5.5;7.14
;;;;460,45,477,62;2;;0;320.37;365.55;75.21;5.19;7.14
;;;;479,45,498,62;2;;0;332.59;365.55;75.21;5.8;7.14
;;;;183,63,202,82;2;;0;151.8;365.55;59.24;5.8;7.98
;;;;204,63,221,82;2;;0;164.02;365.55;59.24;5.19;7.98
;;;;223,63,241,82;2;;0;175.93;365.55;59.24;5.5;7.98
;;;;243,63,261,82;2;;0;188.14;365.55;59.24;5.5;7.98
;;;;263,63,281,82;2;;0;200.36;365.55;59.24;5.5;7.98
;;;;283,63,301,82;2;;0;212.57;365.55;59.24;5.5;7.98
;;;;380,63,398,82;2;;0;271.82;365.55;59.24;5.5;7.98
;;;;400,63,418,82;2;;0;284.03;365.55;59.24;5.5;7.98
;;;;420,63,438,82;2;;0;296.25;365.55;59.24;5.5;7.98
;;;;440,63,458,82;2;;0;308.46;365.55;59.24;5.5;7.98
;;;;460,63,477,82;2;;0;320.37;365.55;59.24;5.19;7.98
;;;;479,63,498,82;2;;0;332.59;365.55;59.24;5.8;7.98
;;;;183,83,202,100;2;;0;151.8;365.55;43.28;5.8;7.14
;;;;204,83,221,100;2;;0;164.02;365.55;43.28;5.19;7.14
;;;;223,83,241,100;2;;0;175.93;365.55;43.28;5.5;7.14
;;;;243,83,261,100;2;;0;188.14;365.55;43.28;5.5;7.14
;;;;263,83,281,100;2;;0;200.36;365.55;43.28;5.5;7.14
;;;;283,83,301,100;2;;0;212.57;365.55;43.28;5.5;7.14
;;;;380,83,398,100;2;;0;271.82;365.55;43.28;5.5;7.14
;;;;400,83,418,100;2;;0;284.03;365.55;43.28;5.5;7.14
;;;;420,83,438,100;2;;0;296.25;365.55;43.28;5.5;7.14
;;;;440,83,458,100;2;;0;308.46;365.55;43.28;5.5;7.14
;;;;460,83,477,100;2;;0;320.37;365.55;43.28;5.19;7.14
;;;;479,83,498,100;2;;0;332.59;365.55;43.28;5.8;7.14
;;;;183,101,202,120;2;;0;151.8;365.55;27.31;5.8;7.98
;;;;204,101,221,120;2;;0;164.02;365.55;27.31;5.19;7.98
;;;;223,101,247,120;2;;0;177.76;365.55;27.31;7.33;7.98
;;;;249,101,281,120;2;;0;196.08;365.55;27.31;9.77;7.98
;;;;283,101,301,120;2;;0;212.57;365.55;27.31;5.5;7.98
;;;;380,101,398,120;2;;0;271.82;365.55;27.31;5.5;7.98
;;;;400,101,432,120;2;;0;288.31;365.55;27.31;9.77;7.98
;;;;434,101,458,120;2;;0;306.63;365.55;27.31;7.33;7.98
;;;;460,101,477,120;2;;0;320.37;365.55;27.31;5.19;7.98
;;;;479,101,498,120;2;;0;332.59;365.55;27.31;5.8;7.98
;;;;65,142,70,237;2;;270;146.61;390.91;96.28;25.91;2.07
;;;;86,142,104,161;2;;270;146.61;370.18;73.55;5.18;7.44
;;;;106,142,125,161;2;;270;146.61;370.18;56.61;5.18;7.85
;;;;127,142,144,161;2;;270;146.61;370.18;40.08;5.18;7.02
;;;;146,142,163,161;2;;270;146.61;370.18;24.38;5.18;7.02
;;;;518,142,535,162;2;;90;338.39;370.45;23.55;5.45;7.02
;;;;537,142,554,167;2;;90;338.39;371.82;39.26;6.82;7.02
;;;;556,142,575,167;2;;90;338.39;371.82;55.79;6.82;7.85
;;;;577,142,595,167;2;;90;338.39;371.82;72.73;6.82;7.44
;;;;611,142,616,237;2;;90;338.39;390.91;95.45;25.91;2.07
;;;;86,162,104,180;2;;270;146.61;380.82;73.55;4.91;7.44
;;;;106,162,125,180;2;;270;146.61;380.82;56.61;4.91;7.85
;;;;127,162,144,180;2;;270;146.61;380.82;40.08;4.91;7.02
;;;;146,162,163,180;2;;270;146.61;380.82;24.38;4.91;7.02
;;;;518,163,535,187;2;;90;338.39;383;23.55;6.55;7.02
;;;;537,168,554,187;2;;90;338.39;384.36;39.26;5.18;7.02
;;;;556,168,575,187;2;;90;338.39;384.36;55.79;5.18;7.85
;;;;577,168,595,187;2;;90;338.39;384.36;72.73;5.18;7.44
;;;;204,171,216,185;2;;90;158.83;384.64;50;3.82;50
;;;;217,171,229,185;2;;270;174.09;384.64;50;3.82;50
;;;;250,171,262,185;2;;90;186.92;384.64;50;3.82;50
;;;;263,171,275,185;2;;270;202.19;384.64;50;3.82;50
;;;;296,171,308,185;2;;90;215.02;384.64;50;3.82;50
;;;;309,171,321,197;2;;270;230.28;387.91;50;7.09;50
;;;;356,171,368,197;2;;90;251.66;387.91;50;7.09;50
;;;;369,171,381,185;2;;270;266.93;384.64;50;3.82;50
;;;;402,171,414,185;2;;90;279.76;384.64;50;3.82;50
;;;;415,171,427,185;2;;270;295.03;384.64;50;3.82;50
;;;;448,171,460,185;2;;90;307.85;384.64;50;3.82;50
;;;;461,171,473,185;2;;270;323.12;384.64;50;3.82;50
;;;;86,181,104,214;2;;270;146.61;395.27;73.55;9;7.44
;;;;106,181,125,214;2;;270;146.61;395.27;56.61;9;7.85
;;;;127,181,144,214;2;;270;146.61;395.27;40.08;9;7.02
;;;;146,181,163,214;2;;270;146.61;395.27;24.38;9;7.02
;;;;204,185,216,197;2;;90;158.83;391.73;50;3.27;50
;;;;217,185,229,197;2;;270;174.09;391.73;50;3.27;50
;;;;250,185,262,197;2;;90;186.92;391.73;50;3.27;50
;;;;263,185,275,197;2;;270;202.19;391.73;50;3.27;50
;;;;296,185,308,197;2;;90;215.02;391.73;50;3.27;50
;;;;369,185,381,197;2;;270;266.93;391.73;50;3.27;50
;;;;402,185,414,197;2;;90;279.76;391.73;50;3.27;50
;;;;415,185,427,197;2;;270;295.03;391.73;50;3.27;50
;;;;448,185,460,197;2;;90;307.85;391.73;50;3.27;50
;;;;461,185,473,197;2;;270;323.12;391.73;50;3.27;50
;;;;543,188,554,214;2;;90;338.39;397.18;41.74;7.09;4.55
;;;;556,188,575,214;2;;90;338.39;397.18;55.79;7.09;7.85
;;;;577,188,595,214;2;;90;338.39;397.18;72.73;7.09;7.44
;;;;86,215,104,234;2;;270;146.61;410;73.55;5.18;7.44
;;;;106,215,125,234;2;;270;146.61;410;56.61;5.18;7.85
;;;;127,215,144,234;2;;270;146.61;410;40.08;5.18;7.02
;;;;146,215,163,234;2;;270;146.61;410;24.38;5.18;7.02
;;;;518,215,535,269;2;;90;338.39;419.55;23.55;14.73;7.02
;;;;537,215,554,236;2;;90;338.39;410.55;39.26;5.73;7.02
;;;;556,215,575,236;2;;90;338.39;410.55;55.79;5.73;7.85
;;;;577,215,595,236;2;;90;338.39;410.55;72.73;5.73;7.44
;;;;204,227,216,241;2;;90;158.83;415.18;50;3.82;50
;;;;217,227,229,241;2;;270;174.09;415.18;50;3.82;50
;;;;250,227,262,241;2;;90;186.92;415.18;50;3.82;50
;;;;263,227,275,241;2;;270;202.19;415.18;50;3.82;50
;;;;296,227,308,241;2;;90;215.02;415.18;50;3.82;50
;;;;309,227,321,253;2;;270;230.28;418.45;50;7.09;50
;;;;356,227,368,253;2;;90;251.66;418.45;50;7.09;50
;;;;369,227,381,241;2;;270;266.93;415.18;50;3.82;50
;;;;402,227,414,241;2;;90;279.76;415.18;50;3.82;50
;;;;415,227,427,241;2;;270;295.03;415.18;50;3.82;50
;;;;448,227,460,241;2;;90;307.85;415.18;50;3.82;50
;;;;461,227,473,241;2;;270;323.12;415.18;50;3.82;50
;;;;86,235,104,253;2;;270;146.61;420.64;73.55;4.91;7.44
;;;;106,235,125,253;2;;270;146.61;420.64;56.61;4.91;7.85
;;;;127,235,144,253;2;;270;146.61;420.64;40.08;4.91;7.02
;;;;146,235,163,253;2;;270;146.61;420.64;24.38;4.91;7.02
;;;;537,237,554,255;2;;90;338.39;421.73;39.26;4.91;7.02
;;;;556,237,575,255;2;;90;338.39;421.73;55.79;4.91;7.85
;;;;577,237,595,255;2;;90;338.39;421.73;72.73;4.91;7.44
;;;;65,238,70,285;2;;270;146.61;430.18;96.28;12.82;2.07
;;;;611,238,616,285;2;;90;338.39;430.18;95.45;12.82;2.07
;;;;204,241,216,253;2;;90;158.83;422.27;50;3.27;50
;;;;217,241,229,253;2;;270;174.09;422.27;50;3.27;50
;;;;250,241,262,253;2;;90;186.92;422.27;50;3.27;50
;;;;263,241,275,253;2;;270;202.19;422.27;50;3.27;50
;;;;296,241,308,253;2;;90;215.02;422.27;50;3.27;50
;;;;369,241,381,253;2;;90;259.6;422.27;50;3.27;50
;;;;402,241,414,253;2;;90;279.76;422.27;50;3.27;50
;;;;415,241,427,253;2;;270;295.03;422.27;50;3.27;50
;;;;448,241,460,253;2;;90;307.85;422.27;50;3.27;50
;;;;461,241,473,253;2;;270;323.12;422.27;50;3.27;50
