description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;218,67,255,125;2;;180;138.03;348;29.59;6.38;17.16
;;;;218,126,257,155;2;;180;138.38;348;55.92;6.72;8.58
;;;;218,156,257,184;2;;180;138.38;348;73.37;6.72;8.28
;;;;218,185,274,214;2;;180;141.31;348;90.83;9.66;8.58
;;;;69,215,124,270;2;;90;132;359.75;28.78;11.75;15.99
;;;;126,215,153,253;2;;90;132;356.12;53.78;8.12;7.85
;;;;155,215,184,253;2;;90;132;356.12;71.22;8.12;8.43
;;;;186,215,213,253;2;;90;132;356.12;88.66;8.12;7.85
;;;;126,254,153,284;2;;90;132;371.08;53.78;6.41;7.85
;;;;155,254,184,284;2;;90;132;371.08;71.22;6.41;8.43
;;;;186,254,213,284;2;;90;132;371.08;88.66;6.41;7.85
;;;;69,271,124,319;2;;90;132;382.19;28.78;10.26;15.99
;;;;126,285,153,382;2;;90;132;398.65;53.78;20.73;7.85
;;;;155,285,184,382;2;;90;132;398.65;71.22;20.73;8.43
;;;;186,285,213,382;2;;90;132;398.65;88.66;20.73;7.85
;;;;69,320,124,406;2;;90;132;411.25;28.78;18.38;15.99
;;;;126,383,153,413;2;;90;132;426.21;53.78;6.41;7.85
;;;;155,383,184,413;2;;90;132;426.21;71.22;6.41;8.43
;;;;186,383,213,413;2;;90;132;426.21;88.66;6.41;7.85
;;;;99,407,124,454;2;;90;132;440.1;37.5;10.04;7.27
;;;;126,414,153,454;2;;90;132;441.6;53.78;8.55;7.85
;;;;155,414,184,454;2;;90;132;441.6;71.22;8.55;8.43
;;;;186,414,213,454;2;;90;132;441.6;88.66;8.55;7.85
;;;;69,438,97,454;2;;90;132;446.73;20.93;3.42;8.14
;;;;218,48,254,62;0;;180;137.86;348;5.33;6.21;4.14
;;;;218,63,255,66;0;;180;138.03;348;10.95;6.38;0.89
;;;;49,215,63,406;0;;90;132;388.82;5.23;40.82;4.07
;;;;65,215,67,406;0;;90;132;388.82;11.05;40.82;0.58
;;;;215,216,217,454;0;;90;132;399.29;98.26;50.86;0.58
;;;;49,407,56,430;0;;90;132;434.97;3.2;4.91;2.03
;;;;58,407,64,430;0;;90;132;434.97;8.14;4.91;1.74
;;;;66,407,72,430;0;;90;132;434.97;12.79;4.91;1.74
;;;;74,407,80,430;0;;90;132;434.97;17.44;4.91;1.74
;;;;82,407,89,430;0;;90;132;434.97;22.38;4.91;2.03
;;;;91,407,97,437;0;;90;132;436.47;27.33;6.41;1.74
;;;;49,434,67,437;0;;90;132;442.24;6.4;0.64;5.23
;;;;69,434,97,437;0;;90;132;442.24;20.93;0.64;8.14
;;;;49,438,63,454;0;;90;132;446.73;5.23;3.42;4.07
;;;;65,438,67,454;0;;90;132;446.73;11.05;3.42;0.58
